YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2020,11,22,-1,32.5,26.3,77
2020,11,23,-1,30.2,25.4,79
2020,11,24,0,31.9,26.8,78
2020,11,25,1.2,32.2,25.1,78
2020,11,26,0.1,32.9,25.6,80
2020,11,27,0.5,29.5,25,84
2020,11,28,0.4,31.5,25.7,82
2020,11,29,0,31.7,25.8,80
2020,11,30,6.2,32.3,25.6,81
2020,12,1,36,31.6,25.1,80
2020,12,2,0.6,31.6,25,89
2020,12,3,0,30.9,25.4,85
2020,12,4,34.4,31.8,23.5,82
2020,12,5,1.2,31.1,25.8,84
2020,12,6,9.4,30,24.4,90
2020,12,7,8.8,31.1,24.1,85
2020,12,8,1.2,30.6,25.2,86
2020,12,9,0,31.7,24.9,82
2020,12,10,7.8,31.8,24.2,85
2020,12,11,0,31.6,25.2,85
2020,12,12,0,31.8,25.5,82
2020,12,13,0,32.2,25.4,79
2020,12,14,5.6,31.9,25.4,82
2020,12,15,0,31.1,26,82
2020,12,16,7.2,29.4,24.3,87
2020,12,17,13.9,31.1,24.9,86
2020,12,18,40.7,27.6,24.8,93
2020,12,19,1,30.9,25.7,87
2020,12,20,0,31.7,25.9,82
2020,12,21,2.3,31.2,25.7,80
2020,12,22,0,31.9,25.2,79
2020,12,23,0,31.2,24.9,78
2020,12,24,0,31.4,26.2,76
2020,12,25,8.6,29.1,25.6,90
2020,12,26,35.3,31.3,24.1,86
2020,12,27,14.3,30.4,24.9,89
2020,12,28,1.2,27.6,24.1,93
2020,12,29,14,31.8,25.1,84
2020,12,30,19,31,25.4,85
2020,12,31,0,30.3,25.1,84
2021,1,1,0,31,25.5,81
2021,1,2,29.9,30.4,24.2,84
2021,1,3,-1,29.2,24.7,88
2021,1,4,11.2,29.6,24.1,82
2021,1,5,0.3,30.7,25,84
2021,1,6,13.3,30.7,25,88
2021,1,7,3.2,28.6,24.9,88
2021,1,8,1.3,29.1,24.3,88
2021,1,9,7.4,30.4,24.6,87
2021,1,10,15.4,28.8,24,88
2021,1,11,2,28,24,86
2021,1,12,3.8,27,24.1,78
2021,1,13,0,30,25.2,81
2021,1,14,0,30.5,24.1,87
2021,1,15,0,31.2,24.4,77
2021,1,16,27,29.7,24.8,85
2021,1,17,4.4,30,24.5,82
2021,1,18,7,27.8,24.5,88
2021,1,19,0,29.5,25.2,83
2021,1,20,9.4,31.4,25,87
2021,1,21,1,30.6,24.8,92
2021,1,22,-1,30.5,24,92
2021,1,23,0,32.1,23.9,83
2021,1,24,0,31.4,25.7,80
2021,1,25,0,31.3,22.9,77
2021,1,26,6,31.2,24.4,73
2021,1,27,0.2,30.3,24.6,82
2021,1,28,13.2,31.3,23.6,84
2021,1,29,37.6,31.5,23.4,77
2021,1,30,14.8,27,23.7,87
2021,1,31,0.8,30,25,74
2021,2,1,30.3,28.3,24.2,80
2021,2,2,21.7,28.2,23.4,85
2021,2,3,3.2,30,23.9,81
2021,2,4,0,30.8,24.8,80
2021,2,5,0,30.9,25.4,85
2021,2,6,2.8,31.5,25.2,79
2021,2,7,16,30.7,23.6,85
2021,2,8,8.6,27.2,23.6,91
2021,2,9,2.2,29.5,24.7,85
2021,2,10,0,31.4,25.3,91
2021,2,11,30,30.4,23.6,92
2021,2,12,9,31.3,24.8,90
2021,2,13,6,31.3,25,84
2021,2,14,2.8,29.1,24.8,89
2021,2,15,0,30.3,25.9,76
2021,2,16,0.4,30.8,25.6,77
2021,2,17,6.4,30.7,24.1,83
2021,2,18,0,30.6,24.4,74
2021,2,19,0,30.2,23.9,66
2021,2,20,-1,27.3,24.6,68
2021,2,21,13.4,28.7,23.6,84
2021,2,22,0,29.4,24,88
2021,2,23,0,31.1,24.6,83
2021,2,24,0,31.8,23.6,84
2021,2,25,0,31.3,24.4,82
2021,2,26,0,31.6,24.8,86
2021,2,27,0,32,25.7,81
2021,2,28,3.3,31.2,23.8,76
2021,3,1,0,31.5,26.2,71
2021,3,2,0,31.3,25.8,77
2021,3,3,0,31.2,24.3,69
2021,3,4,-1,31.2,24.6,77
2021,3,5,1.2,31.3,24.2,76
2021,3,6,0,31.6,24.8,73
2021,3,7,2.6,32,24.2,72
2021,3,8,6,31,24.7,77
2021,3,9,2,32,25,79
2021,3,10,5.2,32.2,24.1,76
2021,3,11,8.6,26.8,24.6,91
2021,3,12,6.2,29.6,24.6,84
2021,3,13,1.8,30.2,25.2,84
2021,3,14,0,31.6,24.7,78
2021,3,15,0,32.8,26,76
2021,3,16,0,32.7,25.8,79
2021,3,17,0,32.6,24.3,77
2021,3,18,0,32.3,25.5,72
2021,3,19,0,32.2,25.6,74
2021,3,20,2.4,32.3,25.9,74
2021,3,21,0,32.3,25.6,78
2021,3,22,0,32,27,73
2021,3,23,8.6,32.4,25.6,70
2021,3,24,10.2,31.8,25.7,82
2021,3,25,2.6,31.3,24.6,80
2021,3,26,0,31.3,24.4,76
2021,3,27,0,31.1,25.3,78
2021,3,28,1,32.5,25.4,77
2021,3,29,0,31.5,24.8,75
2021,3,30,3.8,32.5,26,80
2021,3,31,28,29.2,25.2,86
2021,4,1,-1,31.2,25.3,78
2021,4,2,0,32.2,25.2,78
2021,4,3,0,31.5,24.4,80
2021,4,4,0,31.8,25.6,69
2021,4,5,0,32,25.5,71
2021,4,6,-1,31.9,26.6,75
2021,4,7,0,31.8,24.6,70
2021,4,8,8.3,31.3,24.8,70
2021,4,9,8.5,30.9,24.1,82
2021,4,10,0,31.8,25.3,77
2021,4,11,0,31.5,25.1,72
2021,4,12,0,32.4,25.6,74
2021,4,13,0,31.9,25.4,74
2021,4,14,0,32.8,25.7,77
2021,4,15,3,32.8,24.1,81
2021,4,16,0,32.9,26.5,77
2021,4,17,4,32.9,24.6,69
2021,4,18,0.8,29.9,25.6,71
2021,4,19,-1,31.7,27.7,70
2021,4,20,1.6,32.7,26.7,73
2021,4,21,0,32.2,25.6,76
2021,4,22,2,32.2,24.7,79
2021,4,23,-1,32,26.1,75
2021,4,24,0,33.8,25.8,72
2021,4,25,20.4,33.1,24.5,75
2021,4,26,2.8,31,24.1,76
2021,4,27,0.6,30.9,25,75
2021,4,28,0,31.4,25.6,77
2021,4,29,0,31.2,25,76
2021,4,30,0,32.5,25.7,76
2021,5,1,0,33,25.9,72
2021,5,2,-1,32,26.2,75
2021,5,3,2.5,32.5,25.8,76
2021,5,4,-1,31.3,26.4,82
2021,5,5,1.6,32.7,26.4,82
2021,5,6,0,32.7,27.2,77
2021,5,7,2.6,33,26.4,72
2021,5,8,0,33,26.5,78
2021,5,9,0.4,32.7,27.7,75
2021,5,10,-1,32.4,27.2,79
2021,5,11,-1,33.2,27.2,74
2021,5,12,4.2,32.8,25.8,77
2021,5,13,2,32.6,26.8,78
2021,5,14,0,32.4,26.6,74
2021,5,15,25.4,32.8,24,83
2021,5,16,0,32,27,76
2021,5,17,0,33.5,27.6,77
2021,5,18,1.6,32,26.8,77
2021,5,19,1.2,31.3,26.5,79
2021,5,20,2.8,32.2,25.8,83
2021,5,21,0.1,30.5,25,82
2021,5,22,-1,33.4,25.1,80
2021,5,23,0,33,25.8,77
2021,5,24,0,34.1,25.8,80
2021,5,25,0.6,32.7,26.7,78
2021,5,26,42.6,33,24.1,79
2021,5,27,2.1,32.3,26,83
2021,5,28,0,33,26.8,78
2021,5,29,1.2,33.8,27.3,76
2021,5,30,28.6,31.4,24,82
2021,5,31,1.1,31.9,26,84
2021,6,1,102.7,29.4,24,91
2021,6,2,-1,31.2,24.6,84
2021,6,3,0,32.9,26,79
2021,6,4,1.4,33.4,24.4,74
2021,6,5,-1,33,26,78
2021,6,6,9.8,30.1,24.6,83
2021,6,7,15.3,31.8,24.5,78
2021,6,8,0.3,31.8,25.6,88
2021,6,9,9,31.4,25.4,85
2021,6,10,0,32.2,25.6,80
2021,6,11,12.6,30.8,23.7,84
2021,6,12,2.4,30.7,24.9,88
2021,6,13,0.8,32.2,24.9,82
2021,6,14,0,32.8,25.2,80
2021,6,15,0,32.9,26.4,77
2021,6,16,0,32.6,26,79
2021,6,17,0,33.6,25.6,79
2021,6,18,9.4,33.3,25.3,77
2021,6,19,3.4,32.4,25.2,79
2021,6,20,0,32.2,26,75
2021,6,21,0,32.1,26.1,74
2021,6,22,40.9,33.5,23.8,83
2021,6,23,0,32.3,25.5,83
2021,6,24,0,33,26,75
2021,6,25,-1,33.8,25.8,73
2021,6,26,8.6,32.9,23.8,79
2021,6,27,0,32.5,25.8,79
2021,6,28,0,32.6,25.5,74
2021,6,29,7.4,33.5,24.5,79
2021,6,30,2.2,33.2,26.5,78
2021,7,1,2.2,32.1,24.4,78
2021,7,2,0,31.9,25.8,79
2021,7,3,35.2,30.7,24.4,87
2021,7,4,10.2,32.4,25.1,81
2021,7,5,8.2,32,25,81
2021,7,6,1.3,31.9,24.6,84
2021,7,7,4.4,31.5,26.2,85
2021,7,8,0,32.1,26.4,76
2021,7,9,21,31.5,24.1,80
2021,7,10,2.8,32.1,24.2,82
2021,7,11,0,32,26.2,77
2021,7,12,0,32.2,26.1,75
2021,7,13,0,30.5,26,78
2021,7,14,34,30.9,25.3,82
2021,7,15,0,32.8,25.8,81
2021,7,16,1.2,31.2,25.6,74
2021,7,17,0,31.8,25.4,78
2021,7,18,4.6,32.9,26,75
